company_name,company_website,company_country,company_industry,headcount,company_linkedin,source_platform,account_owner,lifecycle_stage,last_activity_date,notes
HubSpot,https://www.hubspot.com,United States,Software,8000,https://www.linkedin.com/company/hubspot,Sales Navigator-style sample,Alicia Morgan,Prospect,2026-09-09,Public company data; headcount is approximate for testing.
Personio,https://www.personio.com,Germany,SaaS,1800,https://www.linkedin.com/company/personio,Sales Navigator-style sample,Jonas Weber,Prospect,2026-09-07,Public company data; headcount is approximate for testing.
Celonis,https://www.celonis.com,Germany,Software,3000,https://www.linkedin.com/company/celonis,Sales Navigator-style sample,Maya Fischer,Prospect,2026-09-04,Public company data; headcount is approximate for testing.
DeepL,https://www.deepl.com,Germany,Artificial Intelligence,1200,https://www.linkedin.com/company/deepl,Sales Navigator-style sample,Leonie Hartmann,Prospect,2026-09-11,Public company data; headcount is approximate for testing.
Miro,https://miro.com,United States,SaaS,1800,https://www.linkedin.com/company/miro,Sales Navigator-style sample,Daniel Brooks,Prospect,2026-09-08,Public company data; headcount is approximate for testing.
Contentful,https://www.contentful.com,Germany,SaaS,900,https://www.linkedin.com/company/contentful,Sales Navigator-style sample,Clara Neumann,Lead,2026-09-10,Public company data; headcount is approximate for testing.
Pipedrive,https://www.pipedrive.com,United States,SaaS,1000,https://www.linkedin.com/company/pipedrive,Sales Navigator-style sample,Emma Lewis,Prospect,2026-09-03,Public company data; headcount is approximate for testing.
Typeform,https://www.typeform.com,Spain,SaaS,500,https://www.linkedin.com/company/typeform,Sales Navigator-style sample,Sofia Martin,Prospect,2026-09-06,Public company data; headcount is approximate for testing.
Intercom,https://www.intercom.com,United States,Software,1200,https://www.linkedin.com/company/intercom,Sales Navigator-style sample,Liam Turner,Prospect,2026-09-12,Public company data; headcount is approximate for testing.
Zapier,https://zapier.com,United States,SaaS,800,https://www.linkedin.com/company/zapier,Sales Navigator-style sample,Olivia Harris,Prospect,2026-09-02,Public company data; headcount is approximate for testing.
monday.com,https://monday.com,Israel,SaaS,2500,https://www.linkedin.com/company/mondaydotcom,Sales Navigator-style sample,Noah Cohen,Prospect,2026-09-01,Public company data; headcount is approximate for testing.
Notion,https://www.notion.so,United States,Software,1000,https://www.linkedin.com/company/notionhq,Sales Navigator-style sample,Ava Wilson,Prospect,2026-09-05,Public company data; headcount is approximate for testing.
Airtable,https://www.airtable.com,United States,SaaS,900,https://www.linkedin.com/company/airtable,Sales Navigator-style sample,Ethan Moore,Lead,2026-09-08,Public company data; headcount is approximate for testing.
Asana,https://asana.com,United States,SaaS,1800,https://www.linkedin.com/company/asana,Sales Navigator-style sample,Mia Anderson,Prospect,2026-09-10,Public company data; headcount is approximate for testing.
GitLab,https://about.gitlab.com,United States,Software,2000,https://www.linkedin.com/company/gitlab-com,Sales Navigator-style sample,Lucas Martin,Prospect,2026-09-09,Public company data; headcount is approximate for testing.
Datadog,https://www.datadoghq.com,United States,Software,6500,https://www.linkedin.com/company/datadog,Sales Navigator-style sample,Isabella Clark,Prospect,2026-09-11,Public company data; headcount is approximate for testing.
Snowflake,https://www.snowflake.com,United States,Software,8000,https://www.linkedin.com/company/snowflake-computing,Sales Navigator-style sample,James Miller,Prospect,2026-09-04,Public company data; headcount is approximate for testing.
Cloudflare,https://www.cloudflare.com,United States,Software,4500,https://www.linkedin.com/company/cloudflare,Sales Navigator-style sample,Charlotte Davis,Prospect,2026-09-06,Public company data; headcount is approximate for testing.
Zendesk,https://www.zendesk.com,United States,SaaS,5000,https://www.linkedin.com/company/zendesk,Sales Navigator-style sample,Benjamin Hall,Customer,2026-09-07,Public company data; headcount is approximate for testing.
DocuSign,https://www.docusign.com,United States,Software,7000,https://www.linkedin.com/company/docusign,Sales Navigator-style sample,Amelia Young,Prospect,2026-09-12,Public company data; headcount is approximate for testing.
